dust,NO2,CO2,SO2,AQI
20.96,5.69,0.6,10.85,70
22.5,6.94,0.57,17.09,63
19.96,5.43,0.55,9.11,62
8.09,9.29,0.48,9.85,46
12.78,9.72,0.51,6.61,41
10.23,10.19,0.5,12.47,40
7.89,11.09,0.54,16.74,39
9.33,8.83,0.44,11.48,58
10.14,7.06,0.42,12.83,44
11.49,6.9,0.42,12.34,50
12.19,10.16,0.44,11.95,54
10.39,10.06,0.5,15.46,61
10.18,15.4,0.59,13.75,58
5.6,14.58,0.51,18.82,53
4.7,10.03,0.53,13.34,47
4.65,8.44,0.48,12.34,44
11.71,8.06,0.53,16.01,47
10.07,9.21,0.48,12.19,41
11.61,16.7,0.5,16.28,39
8.73,16.26,0.38,17.54,36
11.2,12.95,0.62,17.81,42
11.03,13.74,0.64,10.39,43
16.99,9.48,0.55,11.19,55
12.74,10.27,0.59,13.28,50
17.97,12.1,0.65,11.68,46
15.48,9.15,0.58,15.88,55
14.88,10.59,0.59,14.04,52
20.74,8.44,0.62,15.38,50
14.5,6.53,0.55,13.75,42
16.65,8.32,0.66,10.86,49
20.96,9.55,0.66,14.79,56
21.34,10.69,0.66,14.58,61
248.12,40.11,1.08,9.66,463
148.47,32.77,1.17,4.9,320
194.47,35.42,1.25,5.15,338
214.73,41.72,1.17,6.44,395
71.13,40.37,1.03,4.28,229
126.19,46.16,1.37,5.91,239
133.53,41.42,1.19,4.74,318
150.33,39.46,1.13,5.8,308
165.75,39.01,1.42,5.62,338
221.93,39.44,1.3,5.2,356
147.44,39.07,1.37,4.87,341
174.03,41.44,1.45,4.39,271
145.27,39.11,1.11,3.59,304
129.13,32.27,1.15,4.98,314
146.53,29.28,1.31,3.88,317
144.73,37.42,1.87,7.78,318
160.69,17.91,1.79,5.13,319
140.05,42.09,1.77,5.17,321
97.78,30.81,1.9,4.39,252
90.68,28.37,1.89,5.71,235
113,21.98,2.13,8.28,248
137.47,21.68,2,7.71,295
147.97,24.95,2.27,9.16,317
151.19,29.61,1.89,8.14,328
121.54,20.89,1.8,6,311
89.18,5.2,1.3,4.34,234
38.17,13.71,0.66,7.43,128
78.81,41.92,1.05,18.04,131
111.37,31.94,1.4,8.03,262
83,7.07,0.97,8.07,200
106.43,12.22,1.05,5.24,206
144.45,31.96,1.38,11.93,314
128.92,46.82,1.17,9.23,307
143.36,47.59,1.87,11,318
110.68,48.8,1.74,9.61,288
141.64,49.18,2.31,14.29,302
143.81,50.9,2.44,11.24,322
137.81,50.56,2.5,9.17,316
137.05,45.09,2.52,10.52,313
129.76,41.77,2.65,15.28,306
146.1,30.53,3.08,6.11,317
146.1,33.22,2.91,6.23,323
147.77,35.25,2.47,6.53,324
119.12,23.9,1.96,8.67,296
130.16,14.57,2.31,6.87,309
108.22,7.36,1.48,4.54,266
92.93,3.08,1.39,3.69,227
106.08,49.15,2.41,10.52,185
131.98,20.28,2.83,15.63,298
117.47,19.17,2.15,6.8,304
102.19,18.62,3.83,7.07,277
44.98,13.03,3.75,9.09,162
53.43,10.07,2.82,4.37,127
66.28,16.09,1.7,4.5,116
58.41,16.29,0.86,6.69,126
87.22,42.63,0.96,12.91,227
56.46,25.53,1.53,2.98,143
72.21,26.12,2.16,3.34,122
96.33,28.36,1.71,3.36,197
112.36,28.77,1.41,3.31,235
148.9,28.1,1.22,2.86,315
177.53,28.78,1.37,3.44,335
101.19,26.62,1.24,5.94,298
100.84,27.47,1.63,3.94,233
133.75,28.81,2,3.58,283
158.06,30.4,2.11,3.77,321
161.69,30.43,1.7,2.9,331
149.97,31.25,1.74,3.12,331
87.04,29.9,1.42,3.54,232
103.52,78.17,1.66,3.32,237
124.02,94.18,1.92,5.71,310
66.92,86.72,1.36,3.24,170
77.72,79.22,1.44,10,152
77.71,77.4,1.25,3.27,144
73.58,78.11,1.2,5.07,165
61.57,77.61,1.23,3.64,126
70.31,76.93,1.24,3.89,129
74.04,76.91,1.2,3.09,149
58.91,77.1,1.1,2.76,125
58.9,78.77,0.82,3.24,123
26.86,78.52,0.68,3.05,115
62.55,79.24,1.98,3.1,127
57.51,79.01,1.26,2.5,118
70.09,60.24,1.04,5.11,132
53.67,34.3,0.92,4.04,124
45.61,45.86,0.94,3.4,127
61.12,47.57,0.92,3.52,142
56.96,53.42,0.92,2.97,150
44.39,54.79,0.94,3.48,159
31.79,59.83,0.82,2.56,149
55.78,65.5,0.77,2.79,168
50.4,70.81,0.66,2.66,165
58.71,57.73,0.64,3.22,152
48.6,49.52,0.63,2.82,130
59.76,42.42,0.64,4.03,130
67.11,49.05,0.61,3.38,141
69.65,49.28,0.64,7.24,138
67.14,61.48,0.63,4.55,145
58.38,48.94,0.59,5.85,147
48.16,35.24,0.52,2.83,123
16.26,28.35,0.44,2.75,66
15.91,33.5,0.53,2.63,58
31.96,33.41,0.59,2.68,77
68.32,30.42,1.53,5.1,129
